flight_id,entrega_id,entrega_compartilhada,flights_que_reivindicam
11,650,False,1
11,651,False,1
11,652,False,1
11,653,False,1
11,654,False,1
11,655,False,1
11,656,False,1
11,657,False,1
11,658,False,1
11,659,False,1
11,660,False,1
11,661,False,1
11,662,False,1
11,663,False,1
11,664,False,1
11,665,False,1
11,666,False,1
11,667,False,1
11,668,False,1
11,669,False,1
11,670,False,1
11,671,False,1
11,672,False,1
11,673,False,1
11,674,False,1
11,675,False,1
11,676,False,1
11,677,False,1
13,678,False,1
13,679,False,1
13,680,False,1
13,681,False,1
13,682,False,1
13,683,False,1
13,684,False,1
13,685,False,1
13,686,False,1
13,687,False,1
13,688,False,1
13,689,False,1
13,690,False,1
13,691,False,1
13,692,False,1
13,693,False,1
13,694,False,1
13,695,False,1
13,696,False,1
13,697,False,1
13,698,False,1
13,699,False,1
13,700,False,1
13,701,False,1
13,702,False,1
13,703,False,1
13,704,False,1
13,705,False,1
13,706,False,1
13,707,False,1
13,708,False,1
12,714,False,1
12,715,False,1
12,716,False,1
12,717,False,1
12,718,False,1
12,719,False,1
12,720,False,1
12,721,False,1
12,722,False,1
12,723,False,1
12,724,False,1
12,725,False,1
12,726,False,1
12,727,False,1
12,728,False,1
12,729,False,1
12,730,False,1
12,731,False,1
12,732,False,1
12,733,False,1
12,734,False,1
12,735,False,1
12,736,False,1
12,737,False,1
12,738,False,1
14,739,False,1
14,740,False,1
14,741,False,1
14,742,False,1
14,743,False,1
14,744,False,1
14,745,False,1
14,746,False,1
14,747,False,1
14,748,False,1
14,749,False,1
14,750,False,1
14,751,False,1
14,752,False,1
14,753,False,1
14,754,False,1
14,755,False,1
14,756,False,1
14,757,False,1
14,758,False,1
14,759,False,1
14,760,False,1
14,761,False,1
14,762,False,1
14,763,False,1
14,764,False,1
14,765,False,1
14,766,False,1
14,767,False,1
14,768,False,1
14,769,False,1
15,1115,False,1
15,1116,False,1
15,1117,False,1
15,1118,False,1
15,1119,False,1
15,1120,False,1
15,1121,False,1
15,1122,False,1
15,1123,False,1
15,1124,False,1
15,1125,False,1
15,1126,False,1
15,1127,False,1
15,1128,False,1
15,1129,False,1
15,1130,False,1
15,1131,False,1
15,1132,False,1
15,1133,False,1
15,1134,False,1
15,1135,False,1
15,1136,False,1
15,1137,False,1
15,1138,False,1
15,1139,False,1
15,1140,False,1
15,1141,False,1
15,1142,False,1
17,1143,False,1
17,1144,False,1
17,1145,False,1
17,1146,False,1
17,1147,False,1
17,1148,False,1
17,1149,False,1
17,1150,False,1
17,1151,False,1
17,1152,False,1
17,1153,False,1
17,1154,False,1
17,1155,False,1
17,1156,False,1
17,1157,False,1
17,1158,False,1
17,1159,False,1
17,1160,False,1
17,1161,False,1
17,1162,False,1
17,1163,False,1
17,1164,False,1
17,1165,False,1
17,1166,False,1
17,1167,False,1
17,1168,False,1
17,1169,False,1
17,1170,False,1
17,1171,False,1
17,1172,False,1
17,1173,False,1
16,1183,False,1
16,1184,False,1
16,1185,False,1
16,1186,False,1
16,1187,False,1
16,1188,False,1
16,1189,False,1
16,1190,False,1
16,1191,False,1
16,1192,False,1
16,1193,False,1
16,1194,False,1
16,1195,False,1
16,1196,False,1
16,1197,False,1
16,1198,False,1
16,1199,False,1
16,1200,False,1
16,1201,False,1
16,1202,False,1
16,1203,False,1
16,1204,False,1
16,1205,False,1
16,1206,False,1
16,1207,False,1
18,1208,False,1
18,1209,False,1
18,1210,False,1
18,1211,False,1
18,1212,False,1
18,1213,False,1
18,1214,False,1
18,1215,False,1
18,1216,False,1
18,1217,False,1
18,1218,False,1
18,1219,False,1
18,1220,False,1
18,1221,False,1
18,1222,False,1
18,1223,False,1
18,1224,False,1
18,1225,False,1
18,1226,False,1
18,1227,False,1
18,1228,False,1
18,1229,False,1
18,1230,False,1
18,1231,False,1
18,1232,False,1
18,1233,False,1
18,1234,False,1
18,1235,False,1
18,1236,False,1
18,1237,False,1
18,1238,False,1
28,1910,True,2
30,1910,True,2
28,1911,True,2
30,1911,True,2
28,1912,True,2
30,1912,True,2
28,1913,True,2
30,1913,True,2
28,1914,True,2
30,1914,True,2
28,1915,True,2
30,1915,True,2
28,1916,True,2
30,1916,True,2
28,1917,True,2
30,1917,True,2
28,1918,True,2
30,1918,True,2
28,1919,True,2
30,1919,True,2
28,1920,True,2
30,1920,True,2
28,1921,True,2
30,1921,True,2
28,1922,True,2
30,1922,True,2
28,1923,True,2
30,1923,True,2
28,1924,True,2
30,1924,True,2
28,1925,True,2
30,1925,True,2
28,1926,True,2
30,1926,True,2
28,1927,True,2
30,1927,True,2
28,1928,True,2
30,1928,True,2
28,1929,True,2
30,1929,True,2
28,1930,True,2
30,1930,True,2
28,1931,True,2
30,1931,True,2
28,1932,True,2
30,1932,True,2
28,1933,True,2
30,1933,True,2
28,1934,True,2
30,1934,True,2
28,1935,True,2
30,1935,True,2
28,1936,True,2
30,1936,True,2
28,1937,True,2
30,1937,True,2
28,1938,True,2
30,1938,True,2
28,1939,True,2
30,1939,True,2
29,1987,True,2
31,1987,True,2
29,1988,True,2
31,1988,True,2
29,1989,True,2
31,1989,True,2
29,1990,True,2
31,1990,True,2
29,1991,True,2
31,1991,True,2
29,1992,True,2
31,1992,True,2
29,1993,True,2
31,1993,True,2
29,1994,True,2
31,1994,True,2
29,1995,True,2
31,1995,True,2
29,1996,True,2
31,1996,True,2
29,1997,True,2
31,1997,True,2
29,1998,True,2
31,1998,True,2
29,1999,True,2
31,1999,True,2
29,2000,True,2
31,2000,True,2
29,2001,True,2
31,2001,True,2
29,2002,True,2
31,2002,True,2
29,2003,True,2
31,2003,True,2
29,2004,True,2
